symbol,market,name,origin_name,origin_index,YahooPrice,YahooMarket,YahooPriceFile,GoogleDesc,GoogleDescFile
8032,HKG,Viva China Holdings Ltd,8032,32188,YES,HK,price/HKG/8032.HK.csv,YES,desc/HKG/8032.txt
8032,TYO,JAPAN PULP AND PAPER COMPANY LIMITED,8032,32188,No,,,YES,desc/TYO/8032.txt
PEII,OTCMKTS,Petron Energy II Inc,PEII,32195,No,,,YES,desc/OTCMKTS/PEII.txt
P01,SGX,Poh Tiong Choon Logistics Ltd.,P01,32197,No,,,YES,desc/SGX/P01.txt
P01,ETR,COLT RESOURCES INC.,P01,32197,No,,,No,
P01,FRA,COLT RESOURCES INC.,P01,32197,No,,,No,
SAPIND,KLSE,Sapura Industrial Berhad,SAPIND,32202,No,,,YES,desc/KLSE/SAPIND.txt
6145,TPE,Power Quotient International Co Ltd,6145,32209,YES,TW,price/TPE/6145.TW.csv,YES,desc/TPE/6145.txt
6145,TYO,"NITTOKU ENGINEERING CO., LTD.",6145,32209,No,,,YES,desc/TYO/6145.txt
MIRA,LON,Mirada Plc.,MIRA,32211,YES,L,price/LON/MIRA.L.csv,YES,desc/LON/MIRA.txt
SINT,STO,SinterCast AB,SINT,32215,No,,,YES,desc/STO/SINT.txt
600153,SHA,Xiamen C&D Inc.,600153,32220,YES,SS,price/SHA/600153.SS.csv,YES,desc/SHA/600153.txt
600233,SHA,YTO Express Group Co Ltd,600233,32221,YES,SS,price/SHA/600233.SS.csv,YES,desc/SHA/600233.txt
600368,SHA,Guangxi Wuzhou Communications Co Ltd,600368,32223,YES,SS,price/SHA/600368.SS.csv,YES,desc/SHA/600368.txt
600422,SHA,KPC Pharmaceuticals Inc,600422,32225,YES,SS,price/SHA/600422.SS.csv,YES,desc/SHA/600422.txt
9281,TYO,Takara Leben Infrastructure Fund Inc,9281,32241,No,,,YES,desc/TYO/9281.txt
9282,TYO,Ichigo Green Infrastructure Investm Corp,9282,32242,No,,,YES,desc/TYO/9282.txt
9283,TYO,Renewable Japan Energy Infrstrctr Fd Inc,9283,32243,No,,,YES,desc/TYO/9283.txt
2342,HKG,Comba Telecom Systems Holdings Ltd,2342,32255,YES,HK,price/HKG/2342.HK.csv,YES,desc/HKG/2342.txt
2342,TYO,TRANS GENIC INC.,2342,32255,No,,,YES,desc/TYO/2342.txt
2342,TPE,Mosel Vitelic Inc.,2342,32255,YES,TW,price/TPE/2342.TW.csv,YES,desc/TPE/2342.txt
FRE,ETR,Fresenius SE & Co KGaA,FRE,32260,YES,DE,price/ETR/FRE.DE.csv,YES,desc/ETR/FRE.txt
FRE,FRA,Fresenius SE & Co KGaA,FRE,32260,YES,F,price/FRA/FRE.F.csv,YES,desc/FRA/FRE.txt
1736,TPE,"Johnson Health Tech. Co., Ltd.",1736,32270,YES,TW,price/TPE/1736.TW.csv,YES,desc/TPE/1736.txt
1736,TYO,OTEC CORPORATION,1736,32270,No,,,YES,desc/TYO/1736.txt
T03,SGX,Tat Hong Holdings Limited,T03,32272,No,,,YES,desc/SGX/T03.txt
T03,ETR,TOUCHSTONE GOLD LTD,T03,32272,YES,DE,price/ETR/T03.DE.csv,No,
T03,FRA,TOUCHSTONE GOLD LTD,T03,32272,YES,F,price/FRA/T03.F.csv,No,
